,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,position,value
391,Edouard,Leicester,4,0.2,51,141,40357,1.4,7,Forward,1.4
392,Soumaré,Leicester,3,0.4,44,1191,98948,5.0,22,Midfielder,5.0
394,Choudhury,Leicester,3,2.1,44,129,474957,0.9,4,Midfielder,0.9
395,Coady,Leicester,2,0.4,40,715,54224,2.0,8,Defender,2.0
396,Daka,Leicester,4,0.8,48,296,202260,4.0,19,Forward,4.0
397,De Cordova-Reid,Leicester,3,0.1,52,432,7984,7.3,38,Midfielder,7.3
398,Faes,Leicester,2,6.5,39,1642,1413531,7.7,30,Defender,7.7
400,Hermansen,Leicester,1,0.4,44,1485,117614,8.9,39,Goalkeeper,8.9
402,Justin,Leicester,2,1.5,41,1977,633944,10.5,43,Defender,10.5
403,Kristiansen,Leicester,2,0.1,45,1847,16736,6.0,27,Defender,6.0
405,Mavididi,Leicester,3,0.3,51,1284,176212,10.8,55,Midfielder,10.8
406,McAteer,Leicester,3,0.0,47,380,11014,3.8,18,Midfielder,3.8
407,Ndidi,Leicester,3,0.2,49,1216,105767,7.6,37,Midfielder,7.6
408,Okoli,Leicester,2,0.6,40,829,172496,4.5,18,Defender,4.5
409,Barbosa Pereira,Leicester,2,0.1,41,146,5243,0.5,2,Defender,0.5
411,Stolarczyk,Leicester,1,0.6,40,540,81724,2.5,10,Goalkeeper,2.5
412,Thomas,Leicester,2,1.8,39,179,267402,0.3,1,Defender,0.3
413,Vardy,Leicester,4,5.7,54,1776,2521266,16.7,90,Forward,16.7
414,Vestergaard,Leicester,2,1.8,39,1259,290667,2.8,11,Defender,2.8
415,Ward,Leicester,1,2.1,39,135,140900,0.5,2,Goalkeeper,0.5
416,Winks,Leicester,3,5.9,44,1457,1298285,8.4,37,Midfielder,8.4
417,Skipp,Leicester,3,0.0,47,757,4626,3.8,18,Midfielder,3.8
418,Fatawu,Leicester,3,0.2,51,576,68961,5.1,26,Midfielder,5.1
419,Alves,Leicester,3,0.1,44,1,12604,0.2,1,Midfielder,0.2
421,El Khannouss,Leicester,3,0.2,48,1090,61298,10.2,49,Midfielder,10.2
424,Coulibaly,Leicester,2,0.0,40,15,858,0.5,2,Defender,0.5
425,van Nistelrooij,Leicester,5,0.2,5,0,230,16.0,8,Manager,16.0
426,Ramses Becker,Liverpool,1,9.2,55,1338,1259031,12.4,68,Goalkeeper,12.4
427,Alexander-Arnold,Liverpool,2,32.8,74,1733,3935070,14.5,107,Defender,14.5
429,Bradley,Liverpool,2,0.3,47,255,53845,2.8,13,Defender,2.8
431,Núñez Ribeiro,Liverpool,4,2.0,70,816,323468,6.6,46,Forward,6.6
432,Teixeira da Silva,Liverpool,3,2.5,72,622,1205984,8.2,59,Midfielder,8.2
434,Elliott,Liverpool,3,0.2,52,75,18753,2.3,12,Midfielder,2.3
435,Wataru,Liverpool,3,0.1,46,80,20518,2.2,10,Midfielder,2.2
436,Gakpo,Liverpool,4,22.8,76,1293,3002493,12.1,92,Forward,12.1
437,Gomez,Liverpool,2,0.4,47,517,286809,3.0,14,Defender,3.0
438,Gravenberch,Liverpool,3,0.9,50,1985,234172,11.4,57,Midfielder,11.4
439,Jones,Liverpool,3,0.3,53,919,162202,11.7,62,Midfielder,11.7
440,Kelleher,Liverpool,1,1.2,40,720,718872,9.2,37,Goalkeeper,9.2
441,Konaté,Liverpool,2,7.2,52,1399,2631494,12.7,66,Defender,12.7
442,Díaz,Liverpool,3,17.8,75,1425,6162076,14.1,106,Midfielder,14.1
443,Salah,Liverpool,3,71.5,137,2030,6172499,17.4,238,Midfielder,17.4
444,Mac Allister,Liverpool,3,2.0,62,1629,249012,10.2,63,Midfielder,10.2
448,Quansah,Liverpool,2,1.3,39,225,295512,1.0,4,Defender,1.0
450,Robertson,Liverpool,2,4.4,59,1648,1041761,11.0,65,Defender,11.0
451,Szoboszlai,Liverpool,3,2.8,63,1453,531083,12.7,80,Midfielder,12.7
452,Tsimikas,Liverpool,2,0.2,46,337,37681,5.2,24,Defender,5.2
453,van Dijk,Liverpool,2,22.8,64,2070,2588982,14.1,90,Defender,14.1
454,Chiesa,Liverpool,3,0.2,68,25,49374,0.4,3,Midfielder,0.4
455,Jaros,Liverpool,1,0.1,40,11,35448,0.2,1,Goalkeeper,0.2
459,Danns,Liverpool,4,0.0,45,10,6042,0.2,1,Forward,0.2
460,Slot,Liverpool,5,45.7,15,0,21240,13.3,20,Manager,13.3
461,Akanji,Man City,2,2.7,53,1707,418233,8.3,44,Defender,8.3
462,Aké,Man City,2,0.8,53,601,68480,4.5,24,Defender,4.5
463,Veiga de Carvalho e Silva,Man City,3,2.8,62,1914,921833,11.6,72,Midfielder,11.6
466,De Bruyne,Man City,3,4.1,94,1005,1105839,7.7,72,Midfielder,7.7
467,Doku,Man City,3,1.3,62,782,458938,9.4,58,Midfielder,9.4
468,Santana de Moraes,Man City,1,4.7,53,1350,583991,9.2,49,Goalkeeper,9.2
469,Foden,Man City,3,8.3,93,1362,1498256,9.6,89,Midfielder,9.6
470,Grealish,Man City,3,0.2,64,599,45252,3.9,25,Midfielder,3.9
471,Gvardiol,Man City,2,18.7,59,2022,2948115,15.1,89,Defender,15.1
472,Haaland,Man City,4,27.8,147,2124,3208377,10.1,149,Forward,10.1
475,Kovačić,Man City,3,1.2,54,1543,711742,13.7,74,Midfielder,13.7
476,Lewis,Man City,2,4.7,44,1400,2507869,10.7,47,Defender,10.7
477,Nunes,Man City,3,0.1,49,887,75734,8.0,39,Midfielder,8.0
478,McAtee,Man City,3,0.1,46,84,16712,2.6,12,Midfielder,2.6
479,Ortega Moreno,Man City,1,0.6,52,810,50170,4.8,25,Goalkeeper,4.8
480,Hernandez,Man City,3,0.8,62,65,39634,0.3,2,Midfielder,0.3
481,Gato Alves Dias,Man City,2,2.1,54,1176,338351,6.3,34,Defender,6.3
482,Stones,Man City,2,1.1,53,454,192236,4.2,22,Defender,4.2
483,Walker,Man City,2,2.8,51,966,187185,2.5,13,Defender,2.5
484,Moreira de Oliveira,Man City,3,2.6,63,1167,1164538,12.2,77,Midfielder,12.2
485,O'Reilly,Man City,3,0.0,49,18,1428,0.2,1,Midfielder,0.2
486,Gündogan,Man City,3,0.4,64,1338,141909,6.2,40,Midfielder,6.2
489,Simpson-Pusey,Man City,2,0.0,40,95,5554,0.2,1,Defender,0.2
491,Mubama,Man City,4,0.1,45,27,26179,0.2,1,Forward,0.2
496,Guardiola,Man City,5,1.2,15,0,1196,6.7,10,Manager,6.7
497,Marmoush,Man City,4,2.8,70,144,356416,0.6,4,Forward,0.6
499,Diallo,Man Utd,3,22.9,56,1591,3902516,19.1,107,Midfielder,19.1
500,dos Santos,Man Utd,3,0.2,57,135,18431,1.4,8,Midfielder,1.4
501,Borges Fernandes,Man Utd,3,8.9,83,1925,2551169,12.5,104,Midfielder,12.5
503,Casimiro,Man Utd,3,0.4,47,833,122055,6.8,32,Midfielder,6.8
504,Dalot Teixeira,Man Utd,2,5.6,50,2036,1337395,12.6,63,Defender,12.6
505,Eriksen,Man Utd,3,0.2,52,632,23589,4.6,24,Midfielder,4.6
506,Evans,Man Utd,2,0.1,44,288,8835,3.2,14,Defender,3.2
507,Garnacho,Man Utd,3,4.7,59,1313,1142939,10.3,61,Midfielder,10.3
510,Højlund,Man Utd,4,1.0,69,1106,422666,6.4,44,Forward,6.4
511,Lindelöf,Man Utd,2,0.1,43,59,3132,0.9,4,Defender,0.9
512,Maguire,Man Utd,2,0.6,49,1084,63935,4.9,24,Defender,4.9
513,Mainoo,Man Utd,3,1.9,52,1282,150832,6.2,32,Midfielder,6.2
514,Malacia,Man Utd,2,0.0,44,99,2894,0.5,2,Defender,0.5
515,Martínez,Man Utd,2,3.5,44,1751,445635,15.5,68,Defender,15.5
516,McTominay,Man Utd,3,0.1,49,17,6691,0.4,2,Midfielder,0.4
517,Mount,Man Utd,3,0.1,63,243,6528,1.3,8,Midfielder,1.3
518,Onana,Man Utd,1,6.3,50,2160,1090252,16.6,83,Goalkeeper,16.6
520,Shaw,Man Utd,2,0.2,49,68,5025,0.4,2,Defender,0.4
521,Zirkzee,Man Utd,4,1.5,65,869,480120,8.0,52,Forward,8.0
522,Yoro,Man Utd,2,0.2,43,540,36461,2.3,10,Defender,2.3
523,de Ligt,Man Utd,2,3.2,49,1545,580495,9.8,48,Defender,9.8
524,Mazraoui,Man Utd,2,9.3,43,1832,2937716,14.2,61,Defender,14.2
525,Collyer,Man Utd,3,0.1,45,121,12855,0.9,4,Midfielder,0.9
527,Ugarte,Man Utd,3,0.1,49,1073,30089,4.3,21,Midfielder,4.3
533,Marques Diogo Amorim,Man Utd,5,1.7,8,0,1039,11.2,9,Manager,11.2
537,Almirón Rejala,Newcastle,3,0.3,54,150,42668,1.9,10,Midfielder,1.9
538,Barnes,Newcastle,3,1.0,59,773,704668,11.0,65,Midfielder,11.0
539,Botman,Newcastle,2,0.1,44,225,15107,1.6,7,Defender,1.6
540,Guimarães Rodriguez Moura,Newcastle,3,2.3,61,2089,251727,14.3,87,Midfielder,14.3
541,Burn,Newcastle,2,7.5,44,2070,746556,15.0,66,Defender,15.0
542,Dúbravka,Newcastle,1,3.2,43,810,417846,10.0,43,Goalkeeper,10.0
543,Gordon,Newcastle,3,22.1,76,1855,3208447,14.1,107,Midfielder,14.1
544,Hall,Newcastle,2,25.7,51,1918,3325161,18.0,92,Defender,18.0
546,Isak,Newcastle,4,60.3,95,1800,6987461,16.0,152,Forward,16.0
547,Murphy,Newcastle,3,4.8,51,1337,900858,17.3,88,Midfielder,17.3
548,Apolinário de Lira,Newcastle,3,1.4,60,1915,446043,12.7,76,Midfielder,12.7
549,Kelly,Newcastle,2,0.1,42,299,10682,2.9,12,Defender,2.9
550,Krafth,Newcastle,2,0.1,43,240,12029,2.3,10,Defender,2.3
554,Livramento,Newcastle,2,1.8,45,1642,380919,12.4,56,Defender,12.4
555,Longstaff,Newcastle,3,0.4,45,712,81022,6.0,27,Midfielder,6.0
556,Miley,Newcastle,3,0.0,50,32,1549,1.0,5,Midfielder,1.0
558,Pope,Newcastle,1,3.2,49,1350,639664,9.8,48,Goalkeeper,9.8
560,Schär,Newcastle,2,1.6,54,1692,355896,10.7,58,Defender,10.7
561,Targett,Newcastle,2,0.3,40,12,33044,0.2,1,Defender,0.2
562,Tonali,Newcastle,3,0.5,55,1457,103654,8.7,48,Midfielder,8.7
563,Trippier,Newcastle,2,3.3,56,532,155117,4.5,25,Defender,4.5
565,Willock,Newcastle,3,0.1,47,609,38591,6.2,29,Midfielder,6.2
566,Wilson,Newcastle,4,0.0,69,57,6279,0.4,3,Forward,0.4
568,Osula,Newcastle,4,0.2,49,44,24423,1.8,9,Forward,1.8
569,Howe,Newcastle,5,0.4,15,0,601,6.7,10,Manager,6.7
570,Moreno Lopera,Nott'm Forest,2,0.4,42,812,97576,7.4,31,Defender,7.4
571,Aina,Nott'm Forest,2,29.3,54,2081,4211248,20.0,108,Defender,20.0
572,Anderson,Nott'm Forest,3,0.3,50,1548,61127,13.8,69,Midfielder,13.8
573,Awoniyi,Nott'm Forest,4,0.3,55,245,47061,4.4,24,Forward,4.4
574,Boly,Nott'm Forest,2,0.1,42,131,10697,1.2,5,Defender,1.2
577,da Silva Moreira,Nott'm Forest,3,0.1,44,28,15994,0.5,2,Midfielder,0.5
578,dos Santos de Oliveira,Nott'm Forest,3,0.0,47,78,1888,0.9,4,Midfielder,0.9
580,Domínguez,Nott'm Forest,3,0.0,48,1116,5565,5.6,27,Midfielder,5.6
581,Elanga,Nott'm Forest,3,6.5,53,1455,997497,17.4,92,Midfielder,17.4
582,Gibbs-White,Nott'm Forest,3,4.8,64,1571,858459,14.8,95,Midfielder,14.8
583,Hudson-Odoi,Nott'm Forest,3,1.0,52,1525,363415,13.5,70,Midfielder,13.5
585,Santiago Costa dos Santos,Nott'm Forest,2,3.7,47,2028,708396,18.3,86,Defender,18.3
586,Williams,Nott'm Forest,2,2.2,44,1328,302336,15.2,67,Defender,15.2
591,Sangaré,Nott'm Forest,3,1.0,43,220,230343,1.9,8,Midfielder,1.9
592,Sels,Nott'm Forest,1,17.9,50,2160,2498668,21.4,107,Goalkeeper,21.4
593,Toffolo,Nott'm Forest,2,0.1,42,45,2447,0.7,3,Defender,0.7
595,Wood,Nott'm Forest,4,42.6,71,1914,7189343,21.7,154,Forward,21.7
597,Yates,Nott'm Forest,3,0.1,49,1451,58677,9.4,46,Midfielder,9.4
598,Milenković,Nott'm Forest,2,8.3,48,2070,1244606,19.2,92,Defender,19.2
599,Ferreira Silva,Nott'm Forest,3,0.1,59,694,16526,5.9,35,Midfielder,5.9
600,Sosa,Nott'm Forest,3,0.1,55,229,6219,3.6,20,Midfielder,3.6
601,Rodrigues da Silva,Nott'm Forest,2,0.1,45,523,13120,7.1,32,Defender,7.1
604,Simões Espírito Santo,Nott'm Forest,5,1.8,11,0,2628,13.6,15,Manager,13.6
605,Ramsdale,Southampton,1,1.2,44,1440,291798,11.1,49,Goalkeeper,11.1
606,Archer,Southampton,4,1.4,50,1036,525197,8.0,40,Forward,8.0
607,Ugochukwu,Southampton,3,0.4,44,741,64993,4.5,20,Midfielder,4.5
608,Fraser,Southampton,3,0.0,48,303,2429,1.5,7,Midfielder,1.5
609,Amo-Ameyaw,Southampton,3,0.1,44,26,24416,0.2,1,Midfielder,0.2
610,Aribo,Southampton,3,0.1,49,1460,16246,11.6,57,Midfielder,11.6
611,Armstrong,Southampton,4,0.9,51,1246,273688,8.8,45,Forward,8.8
613,Bednarek,Southampton,2,3.0,40,1782,579383,11.0,44,Defender,11.0
615,Bree,Southampton,2,0.4,39,661,56577,3.6,14,Defender,3.6
617,Edozie,Southampton,3,0.0,49,64,463,0.2,1,Midfielder,0.2
618,Edwards,Southampton,2,0.3,39,12,41084,0.3,1,Defender,0.3
619,Harwood-Bellis,Southampton,2,6.9,40,1894,808767,9.8,39,Defender,9.8
620,Sulemana,Southampton,3,0.0,50,298,2043,3.2,16,Midfielder,3.2
621,Lallana,Southampton,3,0.0,50,333,3589,3.2,16,Midfielder,3.2
624,Lumley,Southampton,1,0.6,40,270,79935,2.0,8,Goalkeeper,2.0
625,Manning,Southampton,2,0.1,43,760,3304,3.5,15,Defender,3.5
627,McCarthy,Southampton,1,0.1,43,450,18729,2.8,12,Goalkeeper,2.8
628,Onuachu,Southampton,4,0.3,49,538,61652,5.3,26,Forward,5.3
629,Smallbone,Southampton,3,0.0,50,316,2066,2.0,10,Midfielder,2.0
630,Stephens,Southampton,2,0.4,40,803,119169,2.8,11,Defender,2.8
631,Stewart,Southampton,4,2.1,44,130,778383,0.7,3,Forward,0.7
632,Yukinari,Southampton,2,0.2,42,1160,32953,8.6,36,Defender,8.6
633,Taylor,Southampton,2,4.3,39,263,408162,1.3,5,Defender,1.3
634,Walker-Peters,Southampton,2,0.3,43,1960,40487,9.3,40,Defender,9.3
635,Wood-Gordon,Southampton,2,1.2,40,577,123435,3.2,13,Defender,3.2
636,Cornet,Southampton,3,0.0,47,71,2364,0.2,1,Midfielder,0.2
637,Downes,Southampton,3,0.0,47,1431,7326,6.8,32,Midfielder,6.8
638,Brereton Díaz,Southampton,3,0.1,48,446,22711,2.7,13,Midfielder,2.7
639,Dibling,Southampton,3,1.9,45,1225,748225,10.0,45,Midfielder,10.0
640,Espanha Fernandes,Southampton,3,0.1,50,1740,15363,10.4,52,Midfielder,10.4
642,Santos,Southampton,2,0.0,40,80,410,0.2,1,Defender,0.2
644,Grønbæk,Southampton,3,0.0,50,69,441,0.4,2,Midfielder,0.4
645,Juric,Southampton,5,0.1,5,0,150,18.0,9,Manager,18.0
646,Solanke-Mitchell,Spurs,4,4.8,74,1598,2622774,11.2,83,Forward,11.2
648,Austin,Spurs,1,0.5,40,90,38498,0.2,1,Goalkeeper,0.2
649,Bentancur,Spurs,3,0.1,49,865,21971,6.5,32,Midfielder,6.5
650,Bergvall,Spurs,3,1.1,44,597,206416,4.5,20,Midfielder,4.5
651,Bissouma,Spurs,3,0.2,48,1029,92133,8.5,41,Midfielder,8.5
653,Davies,Spurs,2,0.1,43,540,14020,4.2,18,Defender,4.2
655,Drăgușin,Spurs,2,0.2,43,1250,55921,5.6,24,Defender,5.6
657,Forster,Spurs,1,0.5,43,630,103504,4.4,19,Goalkeeper,4.4
658,Gray,Spurs,3,0.2,46,963,37043,5.9,27,Midfielder,5.9
660,Johnson,Spurs,3,2.0,62,1490,2058878,14.4,89,Midfielder,14.4
661,Kulusevski,Spurs,3,5.3,64,1948,1412157,15.2,97,Midfielder,15.2
663,Maddison,Spurs,3,4.2,74,1293,2150670,13.8,102,Midfielder,13.8
664,Porro,Spurs,2,20.5,54,1986,2580058,15.4,83,Defender,15.4
665,Reguilón,Spurs,2,0.2,42,121,12940,0.2,1,Defender,0.2
666,de Andrade,Spurs,4,0.5,68,275,69547,2.9,20,Forward,2.9
667,Romero,Spurs,2,3.5,49,974,931608,7.1,35,Defender,7.1
668,Sarr,Spurs,3,0.2,48,1247,50966,10.2,49,Midfielder,10.2
669,Scarlett,Spurs,4,0.2,44,11,12066,0.2,1,Forward,0.2
671,Heung-min,Spurs,3,4.7,98,1583,1759876,10.6,104,Midfielder,10.6
672,Spence,Spurs,2,0.1,44,680,18598,5.0,22,Defender,5.0
673,Udogie,Spurs,2,1.4,48,1430,315430,7.7,37,Defender,7.7
674,van de Ven,Spurs,2,2.5,45,788,1032711,6.2,28,Defender,6.2
676,Vicario,Spurs,1,1.6,48,1080,202208,7.7,37,Goalkeeper,7.7
677,Werner,Spurs,3,0.1,62,496,14166,5.3,33,Midfielder,5.3
679,Lankshear,Spurs,4,1.4,45,10,434203,0.7,3,Forward,0.7
680,Moore,Spurs,3,0.2,45,180,48713,3.1,14,Midfielder,3.1
681,Odobert,Spurs,3,0.0,53,160,6404,1.1,6,Midfielder,1.1
685,Dorrington,Spurs,2,0.0,40,13,1051,0.2,1,Defender,0.2
687,Kinsky,Spurs,1,0.3,45,360,42108,2.7,12,Goalkeeper,2.7
690,Postecoglou,Spurs,5,0.4,11,0,492,10.0,11,Manager,10.0
694,Ferguson,West Ham,4,0.2,55,234,70323,3.6,20,Forward,3.6
695,Wan-Bissaka,West Ham,2,4.3,45,1984,825587,14.0,63,Defender,14.0
696,Álvarez Velázquez,West Ham,3,0.1,50,1228,14324,5.0,25,Midfielder,5.0
697,Antonio,West Ham,4,0.9,53,834,385442,7.9,42,Forward,7.9
698,Areola,West Ham,1,3.7,42,1089,291242,5.7,24,Goalkeeper,5.7
699,Bowen,West Ham,3,2.7,73,1746,1162416,13.7,100,Midfielder,13.7
700,Coufal,West Ham,2,0.4,41,729,33261,4.4,18,Defender,4.4
701,Cresswell,West Ham,2,1.6,39,290,145755,2.3,9,Defender,2.3
703,Palmieri dos Santos,West Ham,2,0.6,44,1630,130644,13.0,57,Defender,13.0
704,Fabiański,West Ham,1,16.4,41,1070,1652557,8.8,36,Goalkeeper,8.8
706,Ings,West Ham,4,1.3,50,264,401371,6.2,31,Forward,6.2
707,Kilman,West Ham,2,1.1,43,2088,338665,10.7,46,Defender,10.7
708,Kudus,West Ham,3,2.4,62,1563,358138,9.5,59,Midfielder,9.5
709,Lira dos Santos,West Ham,3,0.0,46,48,2258,1.3,6,Midfielder,1.3
710,Tolentino Coelho de Lima,West Ham,3,1.0,57,1606,230321,11.2,64,Midfielder,11.2
711,Mavropanos,West Ham,2,0.1,43,1402,18598,7.0,30,Defender,7.0
713,Souček,West Ham,3,1.6,49,1703,452506,15.5,76,Midfielder,15.5
714,Ward-Prowse,West Ham,3,0.5,61,412,30722,2.5,15,Midfielder,2.5
716,Irving,West Ham,3,0.0,48,160,1402,1.7,8,Midfielder,1.7
717,Summerville,West Ham,3,0.3,55,776,49064,6.0,33,Midfielder,6.0
718,Rodríguez,West Ham,3,0.1,48,1015,7022,5.8,28,Midfielder,5.8
719,Füllkrug,West Ham,4,0.8,67,366,64200,3.3,22,Forward,3.3
720,Todibo,West Ham,2,0.2,42,863,17283,5.7,24,Defender,5.7
721,Casey,West Ham,2,0.2,40,1,26754,0.2,1,Defender,0.2
722,Soler,West Ham,3,0.0,50,985,7316,6.8,34,Midfielder,6.8
723,Scarles,West Ham,2,0.0,40,111,3159,1.5,6,Defender,1.5
725,Orford,West Ham,3,0.0,45,47,1235,0.4,2,Midfielder,0.4
726,Potter,West Ham,5,0.5,5,0,658,20.0,10,Manager,20.0
727,Johnstone,Wolves,1,0.3,42,630,53828,2.9,12,Goalkeeper,2.9
728,Aït-Nouri,Wolves,2,4.9,47,1956,2129686,14.5,68,Defender,14.5
730,Bellegarde,Wolves,3,0.1,49,940,14835,10.0,49,Midfielder,10.0
732,Tomás Oliveira,Wolves,3,0.1,45,6,11572,0.2,1,Midfielder,0.2
736,Santos Carneiro Da Cunha,Wolves,4,7.4,68,1875,4278735,18.1,123,Forward,18.1
737,Dawson,Wolves,2,0.1,43,969,22395,4.0,17,Defender,4.0
738,Doherty,Wolves,2,0.3,43,1157,34000,10.0,43,Defender,10.0
739,Doyle,Wolves,3,0.0,48,451,4974,4.8,23,Midfielder,4.8
743,Ganchinho Guedes,Wolves,3,0.1,53,683,26018,9.8,52,Midfielder,9.8
745,Hee-chan,Wolves,3,0.3,61,609,37288,5.4,33,Midfielder,5.4
748,Gomes da Silva,Wolves,3,0.2,49,1852,164551,11.6,57,Midfielder,11.6
749,Malheiro de Sá,Wolves,1,1.8,43,1530,212762,11.4,49,Goalkeeper,11.4
752,Lemina,Wolves,3,0.2,48,1363,105788,9.8,47,Midfielder,9.8
753,Mosquera,Wolves,2,0.5,38,441,128703,0.8,3,Defender,0.8
754,Cabral Semedo,Wolves,2,0.2,45,1699,69485,9.8,44,Defender,9.8
756,Castelo Podence,Wolves,3,0.0,55,46,1049,0.4,2,Midfielder,0.4
757,Martins Gomes,Wolves,3,0.1,51,560,5944,5.5,28,Midfielder,5.5
758,Bueno,Wolves,2,0.1,43,1332,5718,7.2,31,Defender,7.2
759,Sarabia,Wolves,3,0.1,50,423,9322,4.2,21,Midfielder,4.2
760,Strand Larsen,Wolves,4,1.3,52,1835,985014,16.2,84,Forward,16.2
761,Gomes,Wolves,2,0.2,43,1353,40083,9.5,41,Defender,9.5
763,Trindade da Costa Neto,Wolves,3,0.0,50,1311,5021,6.6,33,Midfielder,6.6
764,Forbs Borges,Wolves,3,0.0,54,235,3275,1.5,8,Midfielder,1.5
765,Pond,Wolves,2,0.9,39,1,149692,0.3,1,Defender,0.3
768,Agbadou,Wolves,2,0.1,40,360,5942,2.2,9,Defender,2.2
769,de Oliveira Lopes Pereira,Wolves,5,0.2,8,0,310,25.0,20,Manager,25.0
